Batch 0: Loss: 0.6381527781486511, Acc: 50.00%, Labels: [1, 0]
Batch 0: Loss: 1.0882450342178345, Acc: 0.00%, Labels: [1, 1]
Batch 0: Loss: 0.6082655191421509, Acc: 50.00%, Labels: [0, 1]
Batch 0: Loss: 0.6199012398719788, Acc: 50.00%, Labels: [0, 1]
Batch 1: Loss: 0.5887088775634766, Acc: 50.00%, Labels: [1, 0]
Batch 1: Loss: 1.0426057577133179, Acc: 0.00%, Labels: [1, 1]
Batch 1: Loss: 0.600673496723175, Acc: 50.00%, Labels: [0, 1]
Batch 1: Loss: 1.0251832008361816, Acc: 0.00%, Labels: [1, 1]
Batch 2: Loss: 0.8739956617355347, Acc: 50.00%, Labels: [1, 0]
Batch 2: Loss: 0.8938595056533813, Acc: 0.00%, Labels: [1, 1]
Batch 2: Loss: 0.8838971853256226, Acc: 50.00%, Labels: [1, 0]
Batch 2: Loss: 0.6061348915100098, Acc: 50.00%, Labels: [0, 1]
Batch 3: Loss: 0.741135835647583, Acc: 50.00%, Labels: [1, 1]
Batch 3: Loss: 0.8816887140274048, Acc: 0.00%, Labels: [1, 0]
Batch 3: Loss: 0.7530611753463745, Acc: 0.00%, Labels: [1, 0]
Batch 3: Loss: 0.49385058879852295, Acc: 100.00%, Labels: [1, 0]
Batch 4: Loss: 0.5903369188308716, Acc: 50.00%, Labels: [1, 1]
Batch 4: Loss: 0.8333429098129272, Acc: 50.00%, Labels: [0, 1]
Batch 4: Loss: 0.6566078662872314, Acc: 50.00%, Labels: [0, 1]
Batch 4: Loss: 0.5592396259307861, Acc: 100.00%, Labels: [1, 1]
Batch 5: Loss: 0.4438911974430084, Acc: 100.00%, Labels: [1, 1]
Batch 5: Loss: 0.41674259305000305, Acc: 100.00%, Labels: [1, 1]
Batch 5: Loss: 0.42745742201805115, Acc: 100.00%, Labels: [1, 1]
Batch 5: Loss: 0.4396522641181946, Acc: 100.00%, Labels: [1, 1]
Batch 6: Loss: 0.9405794143676758, Acc: 50.00%, Labels: [1, 0]
Batch 6: Loss: 0.8873637318611145, Acc: 50.00%, Labels: [0, 1]
Batch 6: Loss: 0.6312126517295837, Acc: 50.00%, Labels: [1, 0]
Batch 6: Loss: 0.2995058298110962, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 0.21312451362609863, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 0.7636916041374207, Acc: 50.00%, Labels: [0, 1]
Batch 7: Loss: 0.21649199724197388, Acc: 100.00%, Labels: [1, 1]
Batch 7: Loss: 0.8026156425476074, Acc: 50.00%, Labels: [1, 0]
Batch 8: Loss: 0.15857355296611786, Acc: 100.00%, Labels: [1, 1]
Batch 8: Loss: 0.1715979278087616, Acc: 100.00%, Labels: [1, 1]
Batch 8: Loss: 0.15993277728557587, Acc: 100.00%, Labels: [1, 1]
Batch 8: Loss: 0.16978850960731506, Acc: 100.00%, Labels: [1, 1]
Batch 9: Loss: 0.1189349889755249, Acc: 100.00%, Labels: [1, 1]
Batch 9: Loss: 1.3649853467941284, Acc: 50.00%, Labels: [1, 0]
Batch 9: Loss: 1.1761415004730225, Acc: 50.00%, Labels: [1, 0]
Batch 9: Loss: 1.3066675662994385, Acc: 50.00%, Labels: [1, 0]
Batch 10: Loss: 1.0002214908599854, Acc: 50.00%, Labels: [0, 1]
